Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      641     0.00     0.00  std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >::operator==(std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > const&) const
  0.00      0.00     0.00      612     0.00     0.00  sc_core::sc_time::operator=(sc_core::sc_time const&)
  0.00      0.00     0.00      611     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > >::_M_begin()
  0.00      0.00     0.00      609     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags)
  0.00      0.00     0.00      578     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > >::end()
  0.00      0.00     0.00      547     0.00     0.00  std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >::operator->() const
  0.00      0.00     0.00      545     0.00     0.00  sc_core::sc_time::operator<=(sc_core::sc_time const&) const
  0.00      0.00     0.00      523     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_begin()
  0.00      0.00     0.00      514     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::_M_begin()
  0.00      0.00     0.00      513     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::deallocate(std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >*, unsigned long)
  0.00      0.00     0.00      513     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00      513     0.00     0.00  __gnu_cxx::new_allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >::destroy(std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>*)
  0.00      0.00     0.00      513     0.00     0.00  __gnu_cxx::new_allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >::construct(std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>*, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> const&)
  0.00      0.00     0.00      513     0.00     0.00  tlm_utils::peq_with_get<tlm::tlm_generic_payload>::notify(tlm::tlm_generic_payload&, sc_core::sc_time const&)
  0.00      0.00     0.00      513     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::max_size() const
  0.00      0.00     0.00      513     0.00     0.00  std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>::pair(std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> const&)
  0.00      0.00     0.00      513     0.00     0.00  std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>::pair(sc_core::sc_time const&, tlm::tlm_generic_payload* const&)
  0.00      0.00     0.00      513     0.00     0.00  std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>::~pair()
  0.00      0.00     0.00      513     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> const&)
  0.00      0.00     0.00      513     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_get_node()
  0.00      0.00     0.00      513     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_put_node(std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >*)
  0.00      0.00     0.00      513     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_create_node(std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> const&)
  0.00      0.00     0.00      513     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >*)
  0.00      0.00     0.00      513     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_insert_equal(std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> const&)
  0.00      0.00     0.00      513     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::erase(std::_Rb_tree_iterator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >)
  0.00      0.00     0.00      513     0.00     0.00  std::multimap<sc_core::sc_time const, tlm::tlm_generic_payload*, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::erase(std::_Rb_tree_iterator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >)
  0.00      0.00     0.00      513     0.00     0.00  std::multimap<sc_core::sc_time const, tlm::tlm_generic_payload*, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::insert(std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> const&)
  0.00      0.00     0.00      512     0.00     0.00  sc_core::sc_prim_channel::request_update()
  0.00      0.00     0.00      512     0.00     0.00  sc_core::sc_prim_channel_registry::request_update(sc_core::sc_prim_channel&)
  0.00      0.00     0.00      512     0.00     0.00  tlm::tlm_generic_payload::get_data_length() const
  0.00      0.00     0.00      512     0.00     0.00  sc_core::sc_fifo<tlm::tlm_generic_payload*>::num_free() const
  0.00      0.00     0.00      512     0.00     0.00  std::map<tlm::tlm_generic_payload*, SimpleBusAT<2, 3>::ConnectionInfo, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::end()
  0.00      0.00     0.00      512     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >*, std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >*, tlm::tlm_generic_payload* const&)
  0.00      0.00     0.00      510     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      510     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      484     0.00     0.00  sc_core::sc_module::wait(sc_core::sc_event const&)
  0.00      0.00     0.00      481     0.00     0.00  sc_core::sc_port_b<tlm::tlm_fw_transport_if<tlm::tlm_base_protocol_types> >::operator->()
  0.00      0.00     0.00      481     0.00     0.00  tlm::tlm_generic_payload::get_command() const
  0.00      0.00     0.00      481     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > >::_S_key(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > const*)
  0.00      0.00     0.00      481     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > >::_S_left(std::_Rb_tree_node_base*)
