Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       32     0.00     0.00  std::__miter_base<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, false>::__b(sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**)
  0.00      0.00     0.00       32     0.00     0.00  std::__miter_base<sc_core::sc_signal_inout_if<pkt>**, false>::__b(sc_core::sc_signal_inout_if<pkt>**)
  0.00      0.00     0.00       31     0.00     0.00  sc_core::sc_type_index::sc_type_index(std::type_info const&)
  0.00      0.00     0.00       31     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       31     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       26     0.00     0.00  sc_core::sc_process_b::reference_increment()
  0.00      0.00     0.00       24     0.00     0.00  sc_dt::sc_int<4>::sc_int(sc_dt::sc_int<4> const&)
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_signal_in_if<pkt>*>::max_size() const
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*>::max_size() const
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_signal_inout_if<pkt>*>::max_size() const
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_signal_in_if<bool>**, std::vector<sc_core::sc_signal_in_if<bool>*, std::allocator<sc_core::sc_signal_in_if<bool>*> > >::base() const
  0.00      0.00     0.00       24     0.00     0.00  std::type_info::name() const
  0.00      0.00     0.00       24     0.00     0.00  std::__miter_base<sc_core::sc_signal_in_if<bool>**, false>::__b(sc_core::sc_signal_in_if<bool>**)
  0.00      0.00     0.00       24     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       18     0.00     0.00  sc_core::sc_process_handle::sc_process_handle(sc_core::sc_process_handle const&)
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_signal_in_if<bool>*>::max_size() const
  0.00      0.00     0.00       18     0.00     0.00  std::_Vector_base<sc_core::sc_signal_in_if<bool>*, std::allocator<sc_core::sc_signal_in_if<bool>*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       16     0.00     0.00  pkt::pkt(pkt const&)
  0.00      0.00     0.00       16     0.00     0.00  sc_dt::sc_int<8>::sc_int(sc_dt::sc_int<8> const&)
  0.00      0.00     0.00       16     0.00     0.00  sc_dt::sc_uint<3>::operator=(int)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_signal_in_if<pkt>**, std::vector<sc_core::sc_signal_in_if<pkt>*, std::allocator<sc_core::sc_signal_in_if<pkt>*> > >::__normal_iterator(sc_core::sc_signal_in_if<pkt>** const&)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, std::vector<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*, std::allocator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*> > >::__normal_iterator(sc_core::sc_signal_in_if<sc_dt::sc_int<4> >** const&)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_signal_inout_if<pkt>**, std::vector<sc_core::sc_signal_inout_if<pkt>*, std::allocator<sc_core::sc_signal_inout_if<pkt>*> > >::__normal_iterator(sc_core::sc_signal_inout_if<pkt>** const&)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_in_if<pkt> >::size() const
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_in_if<sc_dt::sc_int<4> > >::size() const
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_inout_if<pkt> >::size() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_signal_in_if<pkt>*, std::allocator<sc_core::sc_signal_in_if<pkt>*> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*, std::allocator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_signal_inout_if<pkt>*, std::allocator<sc_core::sc_signal_inout_if<pkt>*> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       16     0.00     0.00  std::vector<sc_core::sc_signal_in_if<pkt>*, std::allocator<sc_core::sc_signal_in_if<pkt>*> >::max_size() const
  0.00      0.00     0.00       16     0.00     0.00  std::vector<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*, std::allocator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*> >::max_size() const
  0.00      0.00     0.00       16     0.00     0.00  std::vector<sc_core::sc_signal_inout_if<pkt>*, std::allocator<sc_core::sc_signal_inout_if<pkt>*> >::max_size() const
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_in_if<pkt>** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_signal_in_if<pkt>*>(sc_core::sc_signal_in_if<pkt>* const*, sc_core::sc_signal_in_if<pkt>* const*, sc_core::sc_signal_in_if<pkt>**)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_in_if<sc_dt::sc_int<4> >** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*>(sc_core::sc_signal_in_if<sc_dt::sc_int<4> >* const*, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >* const*, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**)
  0.00      0.00     0.00       16     0.00     0.00  sc_core::sc_signal_inout_if<pkt>** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_signal_inout_if<pkt>*>(sc_core::sc_signal_inout_if<pkt>* const*, sc_core::sc_signal_inout_if<pkt>* const*, sc_core::sc_signal_inout_if<pkt>**)
  0.00      0.00     0.00       16     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_signal_in_if<pkt>**>(sc_core::sc_signal_in_if<pkt>**, sc_core::sc_signal_in_if<pkt>**)
  0.00      0.00     0.00       16     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**>(sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**)
